Ticker,Avg Volume,IV30/RV30,TS Slope,Expected Move,Earnings Time,Stock Price,Front Expiry,Back Expiry,Strike,Front Symbol,Back Symbol
AQST,1514710.0,1.3318817946107733,-0.0092425094168526,15.68%,Post Market,2.8,2025-06-20,2025-07-18,2.5,AQST250620C00002500,AQST250718C00002500
MVIS,4064100.0,2.782772174770701,-0.0068638662806919,18.18%,Post Market,1.115,2025-06-06,2025-06-27,1.0,MVIS250606C00001000,MVIS250627C00001000
FATE,1916560.0,1.9146089879122667,-0.0525949944196428,49.59%,Post Market,1.29,2025-06-20,2025-07-18,1.5,FATE250620C00001500,FATE250718C00001500
BLNK,2506843.333333333,2.6831542070594194,-0.0468749190848214,24.89%,Post Market,0.7107,2025-06-20,2025-07-18,0.5,BLNK250620C00000500,BLNK250718C00000500
SMFG,2046546.6666666667,2.177707343170849,-0.0097480889020647,10.38%,Pre Market,15.48,2025-06-20,2025-07-18,15.0,SMFG250620C00015000,SMFG250718C00015000
APLT,2528693.333333333,2.929950292019489,-0.1478794573102678,2032.58%,Post Market,0.3463,2025-06-20,2025-07-18,2.5,APLT250620C00002500,APLT250718C00002500
LXRX,5022780.0,1.8012997687131642,-0.0055804408482142,23.81%,Post Market,0.62,2025-06-20,2025-07-18,0.5,LXRX250620C00000500,LXRX250718C00000500
BITF,18169113.33333333,4.082270844108285,-0.0062825373372395,14.66%,Pre Market,0.9131,2025-06-06,2025-06-27,1.0,BITF250606C00001000,BITF250627C00001000
GEVO,3028893.333333333,3.188780945255925,-0.0092820341331845,21.65%,Post Market,1.165,2025-06-06,2025-06-27,1.0,GEVO250606C00001000,GEVO250627C00001000
CHRS,1568156.6666666667,1.8473510572046412,-0.0292968540736607,28.88%,Post Market,0.7642,2025-06-20,2025-07-18,1.0,CHRS250620C00001000,CHRS250718C00001000
